PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.22-17-9,0,BarChart,themed,0,57.309795,50.0,2.8942928
p2017-11-19.22-17-9,0,BarChart,themed,1,74.24481,65.0,3.2280202
p2017-11-19.22-17-9,0,BarChart,themed,2,80.96778,80.0,0.1280044
p2017-11-19.22-17-9,0,BarChart,themed,3,84.09346,80.0,2.0767164
p2017-11-19.22-17-9,0,BarChart,themed,4,91.80525,80.0,3.5765526
p2017-11-19.22-17-9,1,RadarChart,themed,0,3.6632962,10.0,2.6919146
p2017-11-19.22-17-9,1,RadarChart,themed,1,11.430221,20.0,3.1201494
p2017-11-19.22-17-9,1,RadarChart,themed,2,10.562983,10.0,-0.5395561
p2017-11-19.22-17-9,1,RadarChart,themed,3,7.13894,10.0,1.5782431
p2017-11-19.22-17-9,1,RadarChart,themed,4,3.8604712,10.0,2.647206
p2017-11-19.22-17-9,2,ScatterPlot,themed,0,1.7772706,1.8,-2.7589712
p2017-11-19.22-17-9,2,ScatterPlot,themed,1,2.6405501,2.5,-1.9129437
p2017-11-19.22-17-9,2,ScatterPlot,themed,2,3.3365664,3.5,-1.7936891
p2017-11-19.22-17-9,2,ScatterPlot,themed,3,3.6754122,4.0,-1.1533251
p2017-11-19.22-17-9,2,ScatterPlot,themed,4,4.220913,4.5,-1.3072618
