PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.22-2-33,0,BarChart,themed,0,39.114723,40.0,0.014750615
p2017-11-19.22-2-33,0,BarChart,themed,1,81.03279,60.0,4.403117
p2017-11-19.22-2-33,0,BarChart,themed,2,88.40584,70.0,4.2118564
p2017-11-19.22-2-33,0,BarChart,themed,3,90.70407,80.0,3.4368377
p2017-11-19.22-2-33,0,BarChart,themed,4,93.64086,85.0,3.131896
p2017-11-19.22-2-33,1,RadarChart,themed,0,13.602074,10.0,1.8980434
p2017-11-19.22-2-33,1,RadarChart,themed,1,10.874051,8.0,1.584506
p2017-11-19.22-2-33,1,RadarChart,themed,2,15.912722,8.0,3.0067863
p2017-11-19.22-2-33,1,RadarChart,themed,3,4.2167406,16.0,3.5738907
p2017-11-19.22-2-33,1,RadarChart,themed,4,14.584664,14.0,-0.4947913
p2017-11-19.22-2-33,2,ScatterPlot,themed,0,1.8938754,2.0,-2.113257
p2017-11-19.22-2-33,2,ScatterPlot,themed,1,3.3313715,3.5,-1.7679362
p2017-11-19.22-2-33,2,ScatterPlot,themed,2,4.4199014,4.2,-1.5357435
p2017-11-19.22-2-33,2,ScatterPlot,themed,3,4.585286,4.4,-1.6883292
p2017-11-19.22-2-33,2,ScatterPlot,themed,4,4.6731677,4.5,-1.7458042
