PartipantID,TrialIndex,ChartName,Color,DataPointIndex,TrueValue,RecalledValue,Error
p2017-11-19.20-27-28,0,BarChart,none,0,48.492958,50.0,0.70667815
p2017-11-19.20-27-28,0,BarChart,none,1,77.0532,78.0,0.10003603
p2017-11-19.20-27-28,0,BarChart,none,2,83.8333,85.0,0.36927357
p2017-11-19.20-27-28,0,BarChart,none,3,91.06051,90.0,0.24550629
p2017-11-19.20-27-28,0,BarChart,none,4,91.88877,95.0,1.6943138
p2017-11-19.20-27-28,1,RadarChart,none,0,7.710618,8.0,-1.2709669
p2017-11-19.20-27-28,1,RadarChart,none,1,7.972986,8.0,-2.717726
p2017-11-19.20-27-28,1,RadarChart,none,2,9.644743,10.0,-1.0581213
p2017-11-19.20-27-28,1,RadarChart,none,3,8.605403,12.0,1.8154104
p2017-11-19.20-27-28,1,RadarChart,none,4,13.639626,14.0,-1.04283
p2017-11-19.20-27-28,2,ScatterPlot,none,0,2.6809194,2.8,-2.0345707
p2017-11-19.20-27-28,2,ScatterPlot,none,1,3.8103569,3.5,-1.1997297
p2017-11-19.20-27-28,2,ScatterPlot,none,2,4.4209614,4.5,-2.2930858
p2017-11-19.20-27-28,2,ScatterPlot,none,3,4.6008415,4.6,-2.990319
p2017-11-19.20-27-28,2,ScatterPlot,none,4,4.668544,4.75,-2.2760925
